name,category,scientific_name,description,image_url,source_url,extra
Foodborne illness (overview),food_poisoning,,"Foodborne illness (also known as foodborne disease and food poisoning ) [ 1 ] is any illness resulting from the contamination of food by pathogenic bacteria , viruses , or parasites , [ 2 ] as well as prions (the agents of mad cow disease ), and toxins such as aflatoxins in peanuts, poisonous mushrooms , and various species of beans that have not been boiled for at least 10 minutes. While contaminants directly cause some symptoms, many effects of foodborne illness result from the body's immune response to these agents, which can vary significantly between individuals and populations based on prior exposure. [ 3 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Food_Safety_1.svg/120px-Food_Safety_1.svg.png,https://en.wikipedia.org/wiki/Foodborne_illness,"{""type"": ""overview""}"
Clostridium botulinum,food_poisoning,,"Clostridium botulinum is a gram-positive , [ 1 ] rod-shaped , anaerobic , spore-forming , motile bacterium that has the ability to produce botulinum toxin , which is a neurotoxin known to be the deadliest substance ever recorded in the chemical literature. [ 2 ] [ 3 ] [ 4 ] [ 5 ] [ 6 ] [ 7 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Clostridium_botulinum_01.png/250px-Clostridium_botulinum_01.png,https://en.wikipedia.org/wiki/Clostridium_botulinum,"{""section"": ""general"", ""type"": ""agent""}"
Escherichia coli,food_poisoning,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/E_coli_at_10000x%2C_original.jpg/250px-E_coli_at_10000x%2C_original.jpg,https://en.wikipedia.org/wiki/Escherichia_coli,"{""section"": ""general"", ""type"": ""agent""}"
Listeria,food_poisoning,,"Listeria is a genus of bacteria that acts as an intracellular parasite in mammals. As of 2024, 28 species have been identified. [ 1 ] [ 2 ] [ 3 ] The genus is named in honour of the British pioneer of sterile surgery Joseph Lister . Listeria species are Gram-positive , rod-shaped , and facultatively anaerobic , and do not produce endospores . [ 4 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Listeria_monocytogenes_01.jpg/250px-Listeria_monocytogenes_01.jpg,https://en.wikipedia.org/wiki/Listeria,"{""section"": ""general"", ""type"": ""agent""}"
Salmonella,food_poisoning,,"Salmonella is a genus of rod-shaped , (bacillus) Gram-negative bacteria of the family Enterobacteriaceae . The two known species of Salmonella are Salmonella enterica and Salmonella bongori . S. enterica is the type species and is further divided into six subspecies [ 2 ] [ 3 ] that include over 2,650 serotypes . [ 4 ] Salmonella was named after Daniel Elmer Salmon (1850–1914), an American veterinary surgeon .",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/SalmonellaNIAID.jpg/250px-SalmonellaNIAID.jpg,https://en.wikipedia.org/wiki/Salmonella,"{""section"": ""general"", ""type"": ""agent""}"
Vibrio cholerae,food_poisoning,,"Vibrio cholerae is a species of Gram-negative , facultative anaerobe and comma-shaped bacteria . [ 1 ] The bacteria naturally live in brackish or saltwater where they attach themselves easily to the chitin -containing shells of crabs, shrimp, and other shellfish. Some strains of V. cholerae are pathogenic to humans and cause a deadly disease called cholera , which can be derived from the consumption of undercooked or raw marine life species or drinking contaminated water. [ 2 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Cholera_bacteria_SEM.jpg/250px-Cholera_bacteria_SEM.jpg,https://en.wikipedia.org/wiki/Vibrio_cholerae,"{""section"": ""general"", ""type"": ""agent""}"
Cronobacter,food_poisoning,,"Cronobacter is a genus of Gram-negative , facultatively anaerobic , oxidase -negative, catalase -positive, rod-shaped bacteria of the family Enterobacteriaceae . Several Cronobacter species are desiccation resistant and persistent in dry products such as powdered infant formula. [ 3 ] They are generally motile, reduce nitrate , use citrate , hydrolyze esculin and arginine , and are positive for L- ornithine decarboxylation . Acid is produced from D- glucose , D- sucrose , D- raffinose , D- melibiose , D- cellobiose , D- mannitol , D- mannose , L- rhamnose , L- arabinose , D- trehalose , galacturonate and D- maltose . Cronobacter spp. are also generally positive for acetoin production ( Voges–Proskauer test) and negative for the methyl red test, indicating 2,3-butanediol rather than mixed acid fermentation . The type species of the genus Cronobacter is Cronobacter sakazakii comb. nov.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Enterobacter_sakazakii.tif/lossless-page1-250px-Enterobacter_sakazakii.tif.png,https://en.wikipedia.org/wiki/Cronobacter,"{""section"": ""general"", ""type"": ""agent""}"
Enterovirus,food_poisoning,,Enterovirus ( EV ) [ 1 ] is a genus of positive-sense single-stranded RNA viruses associated with several human and mammalian diseases. Enteroviruses are named by their transmission-route through the intestine ('enteric' meaning intestinal). [ 2 ],https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Journal.pntd.0003044.g005_cropped.jpg/250px-Journal.pntd.0003044.g005_cropped.jpg,https://en.wikipedia.org/wiki/Enterovirus,"{""section"": ""general"", ""type"": ""agent""}"
Hepatitis A,food_poisoning,,"Hepatitis A is an infectious liver disease caused by Hepatitis A virus (HAV); [ 7 ] it is a type of viral hepatitis . [ 8 ] Many cases have few or no symptoms, especially in the young. [ 1 ] The time between exposure and symptoms, in those who develop them, is two to six weeks. [ 2 ] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice , fever, and abdominal pain. [ 1 ] Around 10–15% of people experience a recurrence of symptoms during the six months after the initial infection. [ 1 ] Acute liver failure may rarely occur, with this being more common in the elderly. [ 1 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jaundice_eye.jpg/250px-Jaundice_eye.jpg,https://en.wikipedia.org/wiki/Hepatitis_A,"{""section"": ""general"", ""type"": ""agent""}"
Norovirus,food_poisoning,,"Norovirus , also known as Norwalk virus , is the most common cause of gastroenteritis . [ 1 ] [ 6 ] The infection, sometimes referred to as the winter vomiting disease , is characterized by non-bloody diarrhea , vomiting , and stomach pain . [ 2 ] [ 3 ] Fever or headaches may also occur. [ 2 ] Symptoms usually develop 24 hours after being exposed, and recovery typically occurs within one to three days. [ 2 ] Complications are uncommon, but may include dehydration , especially in the young, the old, and those with other health problems. [ 2 ]",https://upload.wikimedia.org/wikipedia/commons/7/7b/Norwalk.jpg,https://en.wikipedia.org/wiki/Norovirus,"{""section"": ""general"", ""type"": ""agent""}"
Rotavirus,food_poisoning,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Rotavirus_Reconstruction.jpg/250px-Rotavirus_Reconstruction.jpg,https://en.wikipedia.org/wiki/Rotavirus,"{""section"": ""general"", ""type"": ""agent""}"
Cryptosporidium,food_poisoning,,"Cryptosporidium , sometimes called crypto , is an apicomplexan genus of alveolates which are parasites that can cause a respiratory and gastrointestinal illness ( cryptosporidiosis ) that primarily involves watery diarrhea (intestinal cryptosporidiosis), sometimes with a persistent cough (respiratory cryptosporidiosis). [ 1 ] [ 2 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Cryptosporidium_muris.jpg/250px-Cryptosporidium_muris.jpg,https://en.wikipedia.org/wiki/Cryptosporidium,"{""section"": ""general"", ""type"": ""agent""}"
Entamoeba histolytica,food_poisoning,,"Entamoeba histolytica is an anaerobic parasitic amoebozoan , part of the genus Entamoeba . [ 1 ] Predominantly infecting humans and other primates causing amoebiasis , E. histolytica is estimated to infect about 35-50 million people worldwide. [ 1 ] E. histolytica infection is estimated to kill more than 55,000 people each year. [ 2 ] Previously, it was thought that 10% of the world population was infected, but these figures predate the recognition that at least 90% of these infections were due to a second species, E. dispar . [ 3 ] Mammals such as dogs and cats can become infected transiently, but are not thought to contribute significantly to transmission.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Entamoeba_histolytica_trophozoite.png/250px-Entamoeba_histolytica_trophozoite.png,https://en.wikipedia.org/wiki/Entamoeba_histolytica,"{""section"": ""general"", ""type"": ""agent""}"
Giardia,food_poisoning,,"Giardia ( / dʒ iː ˈ ɑːr d i ə / or / ˈ dʒ ɑːr d i ə / ) is a genus of anaerobic flagellated protozoan parasites of the phylum Metamonada that colonise and reproduce in the small intestines of several vertebrates , causing the disease giardiasis . Their life cycle alternates between a binucleated motile trophozoite and an infective, metabolically inert, environmentally resistant tetranucleate cyst . Cysts are transmitted between hosts through the fecal–oral route , contaminated water and/or food. Giardia were first seen by the Dutch microscopist Antonie van Leeuwenhoek in 1681 under the light microscope. [ 3 ] The genus is named after French zoologist Alfred Mathieu Giard . [ 4 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Giardia_lamblia_SEM_8698_lores.jpg/250px-Giardia_lamblia_SEM_8698_lores.jpg,https://en.wikipedia.org/wiki/Giardia,"{""section"": ""general"", ""type"": ""agent""}"
Trichinella,food_poisoning,,"Trichinella is the genus of parasitic roundworms of the phylum Nematoda that cause trichinosis (also known as trichinellosis). Members of this genus are often called trichinella or trichina worms . A characteristic of Nematoda is the one-way digestive tract, with a pseudocoelom (body cavity made up of only an ectoderm and endoderm ).",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Trichinella_larv1_DPDx.JPG/250px-Trichinella_larv1_DPDx.JPG,https://en.wikipedia.org/wiki/Trichinella,"{""section"": ""general"", ""type"": ""agent""}"
Campylobacter jejuni,food_poisoning,,"Campylobacter is a type of bacteria that can cause a diarrheal disease in people. [ 1 ] Its name means 'curved bacterium' because the germ typically appears in a comma or s shape. According to its scientific classification, it is a genus of gram-negative bacteria that is motile . [ a ] [ 2 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/ARS_Campylobacter_jejuni.jpg/250px-ARS_Campylobacter_jejuni.jpg,https://en.wikipedia.org/wiki/Campylobacter,"{""section"": ""Bacteria"", ""type"": ""agent""}"
Clostridium perfringens,food_poisoning,,"Clostridium perfringens was discovered in 1891 by Dr. William H. Welch. [ 1 ] It was originally known as Bacillus aerogenes capsulatus, followed by Bacillus welchii , before the final establishment of its current name. [ 1 ] C. perfringens is a Gram-positive , bacillus (rod-shaped), anaerobic , spore-forming pathogenic bacterium of the genus Clostridium . [ 2 ] [ 3 ] C. perfringens is present in nature and can be found as a normal component of decaying vegetation, marine sediment , the intestinal tract of humans and other vertebrates , insects , and soil . It has the shortest reported generation time of any organism at 6.3 minutes in thioglycolate medium. [ 4 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Clostridium_perfringens.jpg/250px-Clostridium_perfringens.jpg,https://en.wikipedia.org/wiki/Clostridium_perfringens,"{""section"": ""Bacteria"", ""type"": ""agent""}"
Escherichia coli O157:H7,food_poisoning,,"Escherichia coli O157:H7 is a serotype of the bacterial species Escherichia coli and one of the Shiga-like toxin–producing types of E. coli . It is a cause of disease , typically foodborne illness , through consumption of contaminated or raw food, including raw milk and undercooked ground beef . [ 1 ] [ 2 ] Infection with this type of pathogenic bacteria may lead to hemorrhagic diarrhea or kidney failure; these have been reported to cause the deaths of children younger than five years of age, of elderly patients, and of patients whose immune systems are otherwise compromised.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/EColiCRIS051-Fig2.jpg/250px-EColiCRIS051-Fig2.jpg,https://en.wikipedia.org/wiki/Escherichia_coli_O157:H7,"{""section"": ""Bacteria"", ""type"": ""agent""}"
Listeria monocytogenes,food_poisoning,,"Listeria monocytogenes is the species of pathogenic bacteria that causes the infection listeriosis . It is a facultative anaerobic bacterium, capable of surviving with or without oxygen. It can grow and reproduce inside the host's cells and is one of the most virulent foodborne pathogens. Twenty to thirty percent of foodborne listeriosis infections in high-risk individuals may be fatal. [ 1 ] [ 2 ] [ 3 ] In the European Union , listeriosis continues an upward trend that began in 2008, causing 2,161 confirmed cases and 210 reported deaths in 2014, 16% more than in 2013. In the EU, listeriosis mortality rates also are higher than those of other foodborne pathogens. [ 4 ] [ 5 ] Responsible for an estimated 1,600 illnesses and 260 deaths in the United States annually, listeriosis ranks third in total number of deaths among foodborne bacterial pathogens, with fatality rates exceeding even the infamous Clostridium botulinum .",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Listeria_monocytogenes_PHIL_2287_lores.jpg/250px-Listeria_monocytogenes_PHIL_2287_lores.jpg,https://en.wikipedia.org/wiki/Listeria_monocytogenes,"{""section"": ""Bacteria"", ""type"": ""agent""}"
