name,category,scientific_name,description,image_url,source_url,extra
Allium,poisonous,,"Allium is a large genus of monocotyledonous flowering plants with 1112 accepted species, making Allium the largest genus in the family Amaryllidaceae and among the largest plant genera in the world. Many of the species are edible, and some have a long history of cultivation and human consumption such as the onion, garlic, scallions, shallots, leeks, and chives. Allium species occur in temperate climates of the Northern Hemisphere, except for a few species occurring in Chile (such as A. juncifolium), Brazil (A. sellovianum), and tropical Africa (A. spathaceum). They vary in height between 5–150 centimetres (2–59 in). The flowers form an umbel at the top of a leafless stalk. The bulbs vary in size between species, from small (around 2–3 mm in diameter) to rather large (8–10 cm). Some species (such as Welsh onion A. fistulosum and leeks (A. ampeloprasum)) develop thickened leaf-bases rather than forming bulbs as such. Carl Linnaeus first described the genus Allium in 1753. The generic name Allium is the Latin word for garlic, and the type species for the genus is Allium sativum which means ""cultivated garlic"". The decision to include a species in the genus Allium is taxonomically difficult, and species boundaries are unclear. Estimates of the number of species are as low as 260, and as high as 979. In the APG III classification system, Allium is placed in the family Amaryllidaceae, subfamily Allioideae (formerly the family Alliaceae). In some of the older classification systems, Allium was placed in Liliaceae. Molecular phylogenetic studies have shown this circumscription of Liliaceae is not monophyletic. Various Allium species have been cultivated from the earliest times. About a dozen species are economically important as crops, or garden vegetables, and an increasing number of species are important as ornamental plants. Plants belonging to this genus produce cysteine-derived organosulfur compounds, which impart a distinctive onion or garlic flavor and scent. Many are used as food plants, though not all members of the genus are equally flavorful. In most cases, both bulb and leaves are edible. The characteristic Allium flavor depends on the sulfate content of the soil the plant grows in. In the rare occurrence of sulfur-depleted growth conditions, all Allium species completely lose their usual odors and flavors.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Ursa_ajlo_1.jpg/960px-Ursa_ajlo_1.jpg,https://en.wikipedia.org/wiki/Allium,"{""wikipedia_title"": ""Allium"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/c/c9/Ursa_ajlo_1.jpg""}"
onion,poisonous,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Mixed_onions.jpg/960px-Mixed_onions.jpg,https://en.wikipedia.org/wiki/Onion,"{""wikipedia_title"": ""Onion"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/a/a2/Mixed_onions.jpg""}"
garlic,poisonous,,"Garlic (Allium sativum) is a species of bulbous flowering plants in the genus Allium. Its close relatives include the onion, shallot, leek, chives, Welsh onion, and Chinese onion. Garlic is native to central and western Asia, stretching from the Black Sea through the southern Caucasus, northeastern Iran, and the Hindu Kush. It has naturalized in many other parts of the world, including Mediterranean Europe and China. There are two subspecies and hundreds of varieties of garlic. Garlic has been used for thousands of years as a seasoning, culinary ingredient, and traditional medical remedy. It was known in many ancient civilizations, including the Babylonians, Egyptians, Jews, Romans, and Chinese, and remains significant in many cuisines and folk treatments, especially across the Mediterranean and Asia. Sulfur compounds give garlic its pungent odor and flavor. There is insufficient clinical evidence to indicate that consuming garlic has any health benefits. Garlic is cultivated in a variety of climates and countries; China was the largest producer in 2024, accounting for 73% of the world's supply, according to the United Nations FAOSTAT.",https://upload.wikimedia.org/wikipedia/commons/3/39/Allium_sativum_Woodwill_1793.jpg,https://en.wikipedia.org/wiki/Garlic,"{""wikipedia_title"": ""Garlic""}"
leek,poisonous,,"A leek is a biennial vegetable, a cultivar of Allium ampeloprasum, the broadleaf wild leek (syn. Allium porrum). The edible part of the plant is a bundle of leaf sheaths that is sometimes colloquially called a ""stem"" or ""stalk"". The genus Allium also contains the onion, garlic, shallot, scallion, chives, and Chinese onion. Three closely related vegetables—elephant garlic, kurrat and Persian leek or tareh—are also cultivars of A. ampeloprasum, although different in their culinary uses.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Leek_on_white_background_-_0947.jpg/960px-Leek_on_white_background_-_0947.jpg,https://en.wikipedia.org/wiki/Leek,"{""wikipedia_title"": ""Leek"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/6/63/Leek_on_white_background_-_0947.jpg""}"
chive,poisonous,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Allium_schoenoprasum_-_Bombus_lapidarius_-_Tootsi.jpg/960px-Allium_schoenoprasum_-_Bombus_lapidarius_-_Tootsi.jpg,https://en.wikipedia.org/wiki/Chive,"{""wikipedia_title"": ""Chives"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/4/49/Allium_schoenoprasum_-_Bombus_lapidarius_-_Tootsi.jpg""}"
Amaryllidaceae,poisonous,,"The Amaryllidaceae are a family of herbaceous, mainly perennial and bulbous (rarely rhizomatous) flowering plants in the monocot order Asparagales. The family takes its name from the genus Amaryllis and is commonly known as the amaryllis family. The leaves are usually linear, and the flowers are usually bisexual and symmetrical, arranged in umbels on the stem. The petals and sepals are undifferentiated as tepals, which may be fused at the base into a floral tube. Some also display a corona. Allyl sulfide compounds produce the characteristic odour of the onion subfamily (Allioideae). The family, which was originally created in 1805, now contains about 1600 species, divided into 71 genera, 17 tribes and three subfamilies, the Agapanthoideae (Agapanthus), Allioideae (onions, garlic and chives) and Amaryllidoideae (amaryllis, daffodils, snowdrops). Over time, it has seen much reorganisation and at various times was combined with the related Liliaceae. Since 2009, a very broad view has prevailed based on phylogenetics, and including a number of other former families. The family is found in tropical to subtropical and temperate areas of the world and includes many ornamental garden plants and vegetables.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Amaryllis_belladonna_sfbg_2.jpg/960px-Amaryllis_belladonna_sfbg_2.jpg,https://en.wikipedia.org/wiki/Amaryllidaceae,"{""wikipedia_title"": ""Amaryllidaceae"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/7/70/Amaryllis_belladonna_sfbg_2.jpg""}"
thiosulphate,poisonous,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Thiosulfate-ion-2D-dimensions.png/960px-Thiosulfate-ion-2D-dimensions.png,https://en.wikipedia.org/wiki/Thiosulphate,"{""wikipedia_title"": ""Thiosulfate"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/e/e7/Thiosulfate-ion-2D-dimensions.png""}"
Asparagus,poisonous,,"Asparagus (Asparagus officinalis) or garden asparagus is a perennial flowering plant species in the genus Asparagus native to Eurasia. Widely cultivated as a vegetable crop, its young shoots are used as a spring vegetable.",,https://en.wikipedia.org/wiki/Asparagus,"{""wikipedia_title"": ""Asparagus""}"
Asparagaceae,poisonous,,"Asparagaceae (), known as the asparagus family, is a family of flowering plants, placed in the order Asparagales of the monocots. The family name is based on the edible garden asparagus, Asparagus officinalis. This family includes both common garden plants as well as common houseplants. The garden plants include asparagus, yucca, bluebell, lily of the valley, and hosta, and the houseplants include snake plant, corn cane, spider plant, and plumosus fern. The Asparagaceae is a morphologically heterogenous family with the included species varying widely in their appearance and growth form. It has a cosmopolitan distribution, with genera and species contained in the family native to all continents except Antarctica.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Asperge_in_bloei_Asparagus_officinalis.jpg/960px-Asperge_in_bloei_Asparagus_officinalis.jpg,https://en.wikipedia.org/wiki/Asparagaceae,"{""wikipedia_title"": ""Asparagaceae"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/9/90/Asperge_in_bloei_Asparagus_officinalis.jpg""}"
Asparagus officinalis,poisonous,,"Asparagus (Asparagus officinalis) or garden asparagus is a perennial flowering plant species in the genus Asparagus native to Eurasia. Widely cultivated as a vegetable crop, its young shoots are used as a spring vegetable.",,https://en.wikipedia.org/wiki/Asparagus_officinalis,"{""wikipedia_title"": ""Asparagus""}"
