name,category,scientific_name,description,image_url,source_url,extra
Abelmoschus esculentus,edible,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Hong_Kong_Okra_Aug_25_2012.JPG/960px-Hong_Kong_Okra_Aug_25_2012.JPG,https://en.wikipedia.org/wiki/Abelmoschus_esculentus,"{""wikipedia_title"": ""Okra"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/9/95/Hong_Kong_Okra_Aug_25_2012.JPG""}"
Anthriscus cerefolium,edible,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Illustration_Anthriscus_cerefolium0.jpg/960px-Illustration_Anthriscus_cerefolium0.jpg,https://en.wikipedia.org/wiki/Anthriscus_cerefolium,"{""wikipedia_title"": ""Chervil"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/5/51/Illustration_Anthriscus_cerefolium0.jpg""}"
Asparagus officinalis,edible,,"Asparagus (Asparagus officinalis) or garden asparagus is a perennial flowering plant species in the genus Asparagus native to Eurasia. Widely cultivated as a vegetable crop, its young shoots are used as a spring vegetable.",,https://en.wikipedia.org/wiki/Asparagus,"{""wikipedia_title"": ""Asparagus"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers""}"
Bellis perennis,edible,,"Bellis perennis ( BEL-iss pə-REN-iss), the daisy, is a European species of the family Asteraceae, often considered the archetypal species of the name daisy. To distinguish this species from other plants known as daisies, it is sometimes qualified or known as common daisy, lawn daisy or English daisy.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Bellis_perennis_sl1.jpg/960px-Bellis_perennis_sl1.jpg,https://en.wikipedia.org/wiki/Bellis_perennis,"{""wikipedia_title"": ""Bellis perennis"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/4/4b/Bellis_perennis_sl1.jpg""}"
Borago officinalis,edible,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Borago_officinalis_%282025%29.jpg/960px-Borago_officinalis_%282025%29.jpg,https://en.wikipedia.org/wiki/Borago_officinalis,"{""wikipedia_title"": ""Borage"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/2/26/Borago_officinalis_%282025%29.jpg""}"
Diuretic,edible,,"A diuretic ( ) is any substance that promotes diuresis, the increased production of urine. This includes forced diuresis. A diuretic tablet is sometimes colloquially called a water tablet. There are several categories of diuretics. All diuretics increase the excretion of water from the body, through the kidneys. There exist several classes of diuretic, and each works in a distinct way. Alternatively, an antidiuretic, such as vasopressin (antidiuretic hormone), is an agent or drug which reduces the excretion of water in urine.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Furosemid_125mg_vials_yellow_background.jpg/960px-Furosemid_125mg_vials_yellow_background.jpg,https://en.wikipedia.org/wiki/Diuretic,"{""wikipedia_title"": ""Diuretic"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/2/27/Furosemid_125mg_vials_yellow_background.jpg""}"
Brassica oleracea,edible,,"Brassica oleracea, also known as wild cabbage in its uncultivated form, is a plant of the family Brassicaceae. The species originated from feral populations of related plants in the Eastern Mediterranean, where it was most likely first cultivated. It has many common cultivars that are used as culinary vegetables, including cabbage, broccoli, cauliflower, romanesco, kale, Brussels sprout, collard, Savoy cabbage, kohlrabi, and gai lan.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Brassica_oleracea0.jpg/960px-Brassica_oleracea0.jpg,https://en.wikipedia.org/wiki/Brassica_oleracea,"{""wikipedia_title"": ""Brassica oleracea"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/1/11/Brassica_oleracea0.jpg""}"
Bauhinia purpurea,edible,,"Bauhinia purpurea is a species of flowering plant in the family Fabaceae, native to the Indian subcontinent and Myanmar, and widely introduced elsewhere in tropical and subtropical areas of the world. Common names include orchid tree, purple bauhinia, camel's foot, butterfly tree, and Hawaiian orchid tree.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Phanera_purpurea_tree_with_fruits_%28Philippines%29.jpg/960px-Phanera_purpurea_tree_with_fruits_%28Philippines%29.jpg,https://en.wikipedia.org/wiki/Bauhinia_purpurea,"{""wikipedia_title"": ""Bauhinia purpurea"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/8/8e/Phanera_purpurea_tree_with_fruits_%28Philippines%29.jpg""}"
Calendula officinalis,edible,,"Calendula officinalis, Mary's gold, common marigold, the pot marigold, Scotch marigold, or ruddles, is a flowering plant in the daisy family, Asteraceae. It is probably native to southern Europe, but its long history of cultivation makes its precise origin unknown, and it is widely naturalised. The florets are edible and the plant has historically been used as medicine. The names marigold and Mary's gold were given by the English people to honour Mary, mother of Jesus, who was said to wear ""a crown of gold that circles the earth"".",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Calendula_officinalis%2C_pot_marigold.JPG/960px-Calendula_officinalis%2C_pot_marigold.JPG,https://en.wikipedia.org/wiki/Calendula_officinalis,"{""wikipedia_title"": ""Calendula officinalis"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/5/52/Calendula_officinalis%2C_pot_marigold.JPG""}"
Centaurea cyanus,edible,,"Centaurea cyanus, commonly known as cornflower or bachelor's button (among other names), is an annual flowering plant in the family Asteraceae native to Europe. In the past, it often grew as a weed in cornfields (in the broad sense of ""corn"", referring to grains, such as wheat, barley, rye, or oats), hence its name. C. cyanus is now endangered in its native habitat by agricultural intensification, particularly by over-use of herbicides. However, it is now also naturalized in many other parts of the world, including North America and parts of Australia.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Centaurea_cyanus_flower_001.jpg/960px-Centaurea_cyanus_flower_001.jpg,https://en.wikipedia.org/wiki/Centaurea_cyanus,"{""wikipedia_title"": ""Centaurea cyanus"", ""from_list"": ""https://en.wikipedia.org/wiki/List_of_edible_flowers"", ""image_full"": ""https://upload.wikimedia.org/wikipedia/commons/0/07/Centaurea_cyanus_flower_001.jpg""}"
